Timestamp,CHOP CHOP !! RATE THE MOVIEEEEE !!,Which word best describes how the movie made you feel ??????,Would you recommend Oppenheimer to others?
8/2/2025 0:36:33,4,Amazed,YESSS
8/2/2025 0:36:47,4,Amazed,MAYBE IDK
8/2/2025 0:38:10,3,Conflicted,NO
8/2/2025 0:38:19,1,Bored,NO
8/2/2025 0:38:27,2,Inspired,YESSS
8/2/2025 0:38:39,5,Amazed,YESSS
8/2/2025 0:38:47,2,Conflicted,MAYBE IDK
8/2/2025 0:38:57,3,Amazed,MAYBE IDK
8/2/2025 0:39:06,2,Bored,MAYBE IDK
8/4/2025 9:35:58,3,Bored,YESSS
8/4/2025 9:36:11,2,Conflicted,NO
8/4/2025 9:36:31,2,Conflicted,NO
8/4/2025 9:36:43,1,Anxious,NO
8/4/2025 9:36:54,2,Anxious,NO
8/4/2025 9:37:06,3,Amazed,NO
8/4/2025 9:37:55,3,Inspired,NO
8/4/2025 9:38:06,4,Amazed,YESSS
8/4/2025 9:38:20,4,Amazed,YESSS
8/4/2025 9:38:31,5,Amazed,YESSS
8/4/2025 9:39:03,5,Inspired,YESSS
8/4/2025 9:39:14,5,Amazed,YESSS
8/4/2025 9:39:27,5,Inspired,YESSS
8/4/2025 9:39:38,5,Inspired,YESSS
8/4/2025 9:39:47,4,Amazed,YESSS
8/4/2025 9:40:15,4,Inspired,MAYBE IDK
8/4/2025 9:40:25,4,Inspired,MAYBE IDK
8/4/2025 9:40:39,4,Inspired,MAYBE IDK
8/4/2025 9:40:58,4,Inspired,MAYBE IDK
8/4/2025 9:41:43,5,Inspired,YESSS
8/4/2025 9:41:53,5,Amazed,YESSS